rec_loss;test_perc;anom_loss;norm_loss
0;2.710570759224224;0.0;0.0;2.710570759224224
1;2.6345894850007987;0.0;0.0;2.6345894850007987
2;2.467664561394592;0.0;0.0;2.467664561394592
3;2.3175204389005613;0.0;0.0;2.3175204389005613
4;2.215399301849897;0.0;0.0;2.215399301849897
5;2.1348575868491646;0.0;0.0;2.1348575868491646
6;2.091513193490174;0.0;0.0;2.091513193490174
7;2.0306223289283327;0.0;0.0;2.0306223289283327
8;1.9844349877295402;0.0;0.0;1.9844349877295402
9;1.9576624253234989;0.0;0.0;1.9576624253234989
10;1.9283703038030735;0.0;0.0;1.9283703038030735
11;1.8920261183428964;0.0;0.0;1.8920261183428964
12;1.8256696941213746;0.0;0.0;1.8256696941213746
13;1.7911382833486365;0.0;0.0;1.7911382833486365
14;1.768671929283563;0.0;0.0;1.768671929283563
15;1.7560812080379173;0.0;0.0;1.7560812080379173
16;1.708878401132855;0.0;0.0;1.708878401132855
17;1.703252728496197;0.0;0.0;1.703252728496197
18;1.6569848502464668;0.0;0.0;1.6569848502464668
19;1.647986761710632;0.0;0.0;1.647986761710632
20;1.6350256050484036;0.0;0.0;1.6350256050484036
21;1.624636634676589;0.0;0.0;1.624636634676589
22;1.622017483651397;0.0;0.0;1.622017483651397
23;1.6142956832967068;0.0;0.0;1.6142956832967068
24;1.6115231657952653;0.0;0.0;1.6115231657952653
25;1.605872269218004;0.0;0.0;1.605872269218004
26;1.6145231197199374;0.0;0.0;1.6145231197199374
27;1.6008489871982896;0.0;0.0;1.6008489871982896
28;1.5985111067664144;0.0;0.0;1.5985111067664144
29;1.5986219006251465;0.0;0.0;1.5986219006251465
30;1.5948311383508738;0.0;0.0;1.5948311383508738
31;1.6014222572209795;0.0;0.0;1.6014222572209795
32;1.5910613382851038;0.0;0.0;1.5910613382851038
33;1.592219937095176;0.0;0.0;1.592219937095176
34;1.5853561232500175;0.0;0.0;1.5853561232500175
35;1.5881902905805891;0.0;0.0;1.5881902905805891
36;1.5810393425351859;0.0;0.0;1.5810393425351859
37;1.5723095345054012;0.0;0.0;1.5723095345054012
38;1.569716006026874;0.0;0.0;1.569716006026874
39;1.5755916791700937;0.0;0.0;1.5755916791700937
40;1.5583859416442853;0.0;0.0;1.5583859416442853
41;1.559219732393336;0.0;0.0;1.559219732393336
42;1.5483867148686643;0.0;0.0;1.5483867148686643
43;1.5532864699874105;0.0;0.0;1.5532864699874105
44;1.544440567010801;0.0;0.0;1.544440567010801
45;1.545766669773801;0.0;0.0;1.545766669773801
46;1.5503753083569747;0.0;0.0;1.5503753083569747
